case_id,model,enabled,group,notes,solver,I_A,U_V,travel_speed_m_s,wire_feed_m_s,wire_dia_m,gas_flow_lpm,B_mT,B_dir,B_freq_Hz,n_layers,idle_time_s,scan_mode,sym,cell_size_m,deposit_len_m,dt_s,end_time_s,write_interval_s,purge_write,goldak_af_m,goldak_ar_m,goldak_b_m,goldak_c_m,eta_arc,sigma_j_m,sigma_p_m,A_darcy,sigma_e_gas_ratio,n_procs,decomp_method,p_rgh_tol,noise_twin_of
R05-SPFL,P,0,replication,Five layers with interlayer idle. Paper SPFL. Gate: height 4.3pct / length 0.5pct vs Table 5,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,5,999,bidir,half,0.00035,0.020,5e-5,5.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M00-B000,P,1,magnetic,Reduced-mesh baseline at B=0. Reference for the whole magnetic group.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M00-B000-noise,P,1,noisefloor,Noise-floor twin of M00-B000. Identical physics; p_rgh tolerance 1e-8. Spread = resolution limit.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-08,M00-B000
M00-B000-noise3,P,1,noisefloor,Noise-floor twin 3 of M00-B000. Identical physics with p_rgh tolerance 5e-08. Phase 1 lesson: one pair is one SAMPLE not a floor - 3 to 5 are needed for a standard deviation.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,5e-08,M00-B000
M00-B000-noise2,P,1,noisefloor,Noise-floor twin 2 of M00-B000. Identical physics with p_rgh tolerance 1e-09. Phase 1 lesson: one pair is one SAMPLE not a floor - 3 to 5 are needed for a standard deviation.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-09,M00-B000
M-null-003,P,0,magnetic,[PHASE 6] NEGATIVE CONTROL. 3mT sits below Ha=1 (6.2mT) so NO effect is the correct result. If this one shows an effect something is wrong.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,3,y,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M01-By-010,P,0,magnetic,[PHASE 6] Transverse-Y 10mT = 0.74x the arc self-field (13.5mT). Ha=1.6 and the Hartmann layer is 1.85mm ~ 5 cells: the only marginally resolved case.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,10,y,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M02-By-030,P,0,magnetic,[PHASE 6] Transverse-Y 30mT = 2.2x self-field. Ha=4.9 and the layer is 617um < 2 cells: UNRESOLVED. Bulk stirring only. Previously mis-noted as near the Marangoni crossover which is actually 0.48mT.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,30,y,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M03-By-050,P,0,magnetic,[PHASE 6] Transverse-Y 50mT = 3.7x self-field. Ha=8.1 and the layer is 370um ~ 1 cell: unresolved. Damps u_x and u_z ie the main Marangoni loop.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,y,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M04-By-100,P,0,magnetic,[PHASE 6] Transverse-Y 100mT = 7.4x self-field. Ha=16.2 and the layer is 185um < 1 cell: badly unresolved. Keep for the stirring trend not for layers.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,100,y,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M05-Bx-030,P,0,magnetic,[PHASE 6] Longitudinal-X 30mT. J x B acts along y which DESTROYS the XZ symmetry so a full domain is mandatory. Damps the transverse circulation.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,30,x,0,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M06-Bx-050,P,0,magnetic,[PHASE 6] Longitudinal-X 50mT = 3.7x self-field. Symmetry broken so full domain.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,x,0,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M07-Bz-030,P,0,magnetic,[PHASE 6] Axial-Z 30mT. Axial current gives zero force but the arc current also spreads radially and J_r x B_z is AZIMUTHAL giving swirl. Symmetry broken.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,30,z,0,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M08-Bz-050,P,0,magnetic,[PHASE 6] Axial-Z 50mT. Azimuthal swirl about the arc axis. Full domain.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,z,0,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M09-Bz-100,P,0,magnetic,[PHASE 6] Axial-Z 100mT = 7.4x self-field. Strongest swirl case. Full domain.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,100,z,0,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M10-Bz050-f010,P,0,magnetic,[PHASE 6] Alternating Bz 50mT at 10Hz. Skin depth 83mm >> 3mm pool so the field fully penetrates and quasi-static holds. Needs a time-varying H boundary condition via codedFixedValue - no solver work.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,z,10,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M11-Bz050-f050,P,0,magnetic,[PHASE 6] Alternating Bz 50mT at 50Hz. Skin depth 37mm >> pool: full penetration.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,z,50,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
M12-Bz050-f070,P,0,magnetic,[PHASE 6] Alternating Bz 50mT at 70Hz. Skin depth 31mm >> pool: full penetration. Highest frequency in the sweep and still fully penetrating.,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,z,70,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
S00-sigmafloor-1e4,P,0,sensitivity,Conductivity floor sensitivity 1e-4,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,z,0,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-4,6,scotch,1e-07,
S01-sigmafloor-1e8,P,0,sensitivity,Conductivity floor sensitivity 1e-8,laserbeamFoam,135,16,0.02,0.15,0.0012,20,50,z,0,1,0,unidir,full,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-8,6,scotch,1e-07,
S02-darcy-1e7,P,0,sensitivity,Darcy constant 1e7 to suppress solidified creep,laserbeamFoam,135,16,0.02,0.15,0.0012,20,0,none,0,1,0,unidir,half,0.00035,0.020,5e-5,1.00,0.010,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e7,1e-6,6,scotch,1e-07,
T00-B000-5layer,T,0,thermal,Five layer thermal history for ExaCA. Baseline,TBD-thermal,135,16,0.02,0.15,0.0012,20,0,none,0,5,999,bidir,full,0.00035,0.020,1e-3,12.00,0.050,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
T00-B000-5layer-noise,T,0,noisefloor,Noise-floor twin of T00-B000-5layer. Identical physics; p_rgh tolerance 1e-8. Spread = resolution limit.,TBD-thermal,135,16,0.02,0.15,0.0012,20,0,none,0,5,999,bidir,full,0.00035,0.020,1e-3,12.00,0.050,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-08,T00-B000-5layer
T08-Bz050-5layer,T,0,thermal,Five layer thermal history for ExaCA. 50mT longitudinal,TBD-thermal,135,16,0.02,0.15,0.0012,20,50,z,0,5,999,bidir,full,0.00035,0.020,1e-3,12.00,0.050,0,0.003,0.006,0.004,0.004,0.70,0.002,0.002,1e6,1e-6,6,scotch,1e-07,
